Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Next Day Close,Rendement
2020-05-18 00:00:00-04:00,157.42079231607977,162.19541356668734,155.23279200942946,161.1147003173828,4505800,0.0,0.0,157.5270538330078,-0.022267654517605342
2020-05-19 00:00:00-04:00,159.94536446399172,161.389270803074,157.42961205214917,157.5270538330078,2210500,0.0,0.0,160.7249298095703,0.020300487432162114
2020-05-20 00:00:00-04:00,160.2908684259979,162.84206207906647,159.7150845746786,160.7249298095703,2599900,0.0,0.0,159.53793334960938,-0.007385266625204388
2020-05-21 00:00:00-04:00,159.626508209026,160.48576409382943,157.3942135947242,159.53793334960938,2153500,0.0,0.0,159.3873291015625,-0.0009440027514763075
2020-05-22 00:00:00-04:00,159.4759174769421,160.0162741267056,157.73083191213314,159.3873291015625,2176400,0.0,0.0,173.6757354736328,0.08964581094752934
2020-05-26 00:00:00-04:00,164.4365399645665,174.59700575409474,164.0733466132943,173.6757354736328,5971200,0.0,0.0,185.72305297851562,0.06936672801199577
2020-05-27 00:00:00-04:00,179.82342409665947,186.6531768409739,177.17478850134626,185.72305297851562,8182100,0.0,0.0,178.2466278076172,-0.040255773588663266
2020-05-28 00:00:00-04:00,186.7683039767951,187.18464495755032,178.237774377892,178.2466278076172,4886100,0.0,0.0,175.14471435546875,-0.017402368225986044
2020-05-29 00:00:00-04:00,175.80431725944422,179.09346380890352,173.50458866712972,175.14471435546875,3822600,1.25,0.0,178.21096801757812,0.017506972296555828
2020-06-01 00:00:00-04:00,175.87559121999837,179.85109336055064,173.9234956398381,178.21096801757812,2230800,0.0,0.0,181.96363830566406,0.021057459761487783
2020-06-02 00:00:00-04:00,181.63383690525225,184.06726473236685,179.4499907218838,181.96363830566406,4128700,0.0,0.0,187.69512939453125,0.031498002250534146
2020-06-03 00:00:00-04:00,185.84108466241724,188.9073752873813,184.00485747495404,187.69512939453125,3471900,0.0,0.0,191.4834442138672,0.020183341099773447
2020-06-04 00:00:00-04:00,186.10848928740168,191.63497495490552,185.36866672856144,191.4834442138672,3522300,0.0,0.0,194.24668884277344,0.014430723451057167
2020-06-05 00:00:00-04:00,197.88346771948952,198.75700354343417,194.01493832655402,194.24668884277344,4737600,0.0,0.0,196.82272338867188,0.01326166516013832
2020-06-08 00:00:00-04:00,196.11854952084613,198.11520267590416,194.5319175239106,196.82272338867188,3260300,0.0,0.0,194.40716552734375,-0.012272759058201063
2020-06-09 00:00:00-04:00,192.3035386751579,196.11858868826374,191.78654413677862,194.40716552734375,2478400,0.0,0.0,190.3246307373047,-0.020999919313492824
2020-06-10 00:00:00-04:00,193.77421567967855,195.96698385155727,189.6828455943732,190.3246307373047,3091200,0.0,0.0,173.0410919189453,-0.09081083594595256
2020-06-11 00:00:00-04:00,182.46283468189765,184.4238394960271,172.94304099817973,173.0410919189453,4923400,0.0,0.0,179.86000061035156,0.03940629717362345
2020-06-12 00:00:00-04:00,178.82601180751087,180.89398941319226,174.89509436419974,179.86000061035156,3380800,0.0,0.0,183.8978729248047,0.022450085070336263
2020-06-15 00:00:00-04:00,174.46721103107402,184.50400939041128,173.9502166813787,183.8978729248047,3467400,0.0,0.0,186.82159423828125,0.01589861408931067
2020-06-16 00:00:00-04:00,191.626061514926,191.626061514926,181.59818341051331,186.82159423828125,3099100,0.0,0.0,183.7909393310547,-0.0162221873739131
2020-06-17 00:00:00-04:00,187.18704497076416,187.89121882208772,183.1224141704448,183.7909393310547,1798300,0.0,0.0,181.69622802734375,-0.011397250111104902
