,Dataset,KMeans - Silhouette,HAC - Silhouette,DBSCAN - Silhouette
0,ratios financiers,0.22777244868176166,0.24644946940264645,-0.1366501411147188
1,rendements,0.11427706579308888,0.16069731424501016,0.23698763542110993
2,correlation des rendements,0.2967982414002484,0.2888340732333798,0.27354415387030956
